No, they're not interested in... WAIT A MINUTE! What in the hell are those girls doing?!	No, they're not interested in... WAIT A MINUTE! What in the hell are those girls doing?!
I'm not sure, but I don't think it's legal on this side of the Sierra Nevada!	I'm not sure, but I don't think it's legal on this side of the Sierra Nevada!
Well now, your exceptional generosity's gotta be reciprocated! Could I be interestin' you in a free shave?	Well now, your exceptional generosity's gotta be reciprocated! Could I be interestin' you in a free shave?
No, thank you, Sal.	No, thank you, Sal.
Then, how about a free wisdom tooth extraction?	Then, how about a free wisdom tooth extraction?
Oh, mine are already out. Had 'em pulled in the dental department while I was in college. Needed the extra money for tuition.	Oh, mine are already out. Had 'em pulled in the dental department while I was in college. Needed the extra money for tuition.
Well, then, lemme see... watta I got in here that'd be a suitable swap?	Well, then, lemme see... watta I got in here that'd be a suitable swap?
Why, thank you, Salvatore. Perhaps I can use this in some of my experiments.	Why, thank you, Salvatore. Perhaps I can use this in some of my experiments.
This-a no moustache wax! I dinna ken what kinda wax it is, either!	This-a no moustache wax! I dinna ken what kinda wax it is, either!
Nize-a switchblade! Now be a good laddie and put that thing away.	Nize-a switchblade! Now be a good laddie and put that thing away.
You aim the pistol at Salvatore.	You aim the pistol at Salvatore.
'Ay, what am I ever done to YOU, eh? I gotta wife anna kids at home! I'm-a hardworkin' shlub! I gotta no money! I was a-gonna retire soon, watch-a my kids grow up and move away, watch-a my wife growin' old and wrinkled and crabby. I was a-plannin' to die atta home, a poor anna broken man.	'Ay, what am I ever done to YOU, eh? I gotta wife anna kids at home! I'm-a hardworkin' shlub! I gotta no money! I was a-gonna retire soon, watch-a my kids grow up and move away, watch-a my wife growin' old and wrinkled and crabby. I was a-plannin' to die atta home, a poor anna broken man.
You're right. I can't do it. I won't do it.	You're right. I can't do it. I won't do it.
You holster your pistol.	You holster your pistol.
No, waitta momento... come-a to think on it, maybe it would be quicker anna more painless this way. C'mon, shoota me.	No, waitta momento... come-a to think on it, maybe it would be quicker anna more painless this way. C'mon, shoota me.
No, no, you were right the first time. Just forget it.	No, no, you were right the first time. Just forget it.
Somma friend!	Somma friend!
Mmm, atta pie, she's-a looking sum good!	Mmm, atta pie, she's-a looking sum good!
Wanna trade for something?	Wanna trade for something?
No thanks! I'm-a tryin' to watch-a my weight!	No thanks! I'm-a tryin' to watch-a my weight!
I'm-a not thirsty. Already hadda twenty cupsa coffee today, and ho boy, I'm-a bit shaky already!	I'm-a not thirsty. Already hadda twenty cupsa coffee today, and ho boy, I'm-a bit shaky already!
Sure 'n begorrah, atsa' the Sheriff's gun cleaning-a kit!	Sure 'n begorrah, atsa' the Sheriff's gun cleaning-a kit!
Hey, you-a no gunslinger! What you do with-a those?	Hey, you-a no gunslinger! What you do with-a those?
I thought I'd brush up on my shooting a bit... just in case.	I thought I'd brush up on my shooting a bit... just in case.
Well, laddie, be careful now! Don't be putting' yer eye out! I hardly know ye!	Well, laddie, be careful now! Don't be putting' yer eye out! I hardly know ye!
I doan needa that, I'm-a no takin' any dental impressions today. But sure'n you're a nice lad for thinkin' of me.	I doan needa that, I'm-a no takin' any dental impressions today. But sure'n you're a nice lad for thinkin' of me.
'Ay, you gotta prize! Bueno! 'ere's to yer!	'Ay, you gotta prize! Bueno! 'ere's to yer!
Them's a funny-shaped silver bullets you forgin' there!	Them's a funny-shaped silver bullets you forgin' there!
'Ay, 'atsa nize silver ear you gotta there!	'Ay, 'atsa nize silver ear you gotta there!
